"","100 Plan","200A Plan","200+ Plan","300 Plan","500 Plan","750 Plan","1000 Plan","1000+ Plan"
"","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days","Per Day","30 Days"
"Daily Hospital Confinement","$100","$200","$200","$300","$500","$750","$1,000","$1,000"
"Daily Hospital Admission","","","","","","","","","","","","","","","5 Days","15 Days"
"Daily Intensive Care/Coronary Care (ICU/CCU)","","","","","","","","","","","","","","","1 Day","1 Day"
"Daily Emergency Room Visit (Injury)","$50","1 Day","$50","1 Day","$50","1 Day","$50","1 Day","$50","1 Day","$75","1 Day","$100","1 Day","$200","1 Day"
"Daily Emergency Room Visit (Sickness)","$50","1 Day","$50","1 Day","$50","1 Day","$50","1 Day","$50","1 Day","$75","1 Day","$100","1 Day","$200","1 Day"
"Daily Inpatient Surgery","","","","$250","3 Days","$250","3 Days","$350","3 Days","$400","3 Days","$500","3 Days","$500","3 Days"
"Daily Inpatient Surgery Anesthesia","","","","$100","3 Days","$100","3 Days","$100","3 Days","$100","3 Days","$100","3 Days","$125","3 Days"
"Daily Outpatient Surgery","","","","$250","3 Days","$250","3 Days","$350","3 Days","$400","3 Days","$500","3 Days","$500","3 Days"
"Daily Outpatient Surgery Anesthesia","","","","$100","3 Days","$100","3 Days","$100","3 Days","$100","3 Days","$100","3 Days","$125","3 Days"
"Daily Physician Office Visit","$50","6 Days","$50","6 Days","$50","10 Days","$50","10 Days","$50","10 Days","$75","10 Days","$75","10 Days"
"Daily Inpatient diagnostic radiology & x-ray","","","","$50","1 Day","$50","1 Day","$50","2 Days","$50","2 Days","$75","3 Days","$100","3 Days"
"Daily Outpatient diagnostic radiology & x-ray","","","","$50","1 Day","$50","1 Day","$50","2 Days","$50","2 Days","$75","3 Days","$100","3 Days"
"Daily Inpatient diagnostic laboratory tests","","","","$50","1 Day","$50","1 Day","$50","2 Days","$50","2 Days","$75","3 Days","$100","3 Days"
"Daily Outpatient diagnostic laboratory tests","","","","$50","1 Day","$50","1 Day","$50","2 Days","$50","2 Days","$75","3 Days","$100","3 Days"
"Group Accident Benefits","","","","","","","","","","","","","","",""
"Accidental Death","$10,000","","","","","","","","","","","","","",""
"Hospital Admission Benefit","","","","$500","1 Day","$500","2 Days","$500","2 Days","$500","3 Days","$500","3 Days","$500","3 Days"
"Emergency Room","","","","$250","1 Day","$250","1 Day","$250","1 Day","$250","1 Day","$250","1 Day","$250","1 Day"